0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	6.61036103610361	11.0
11	6.646229245849169	12.0
12	6.729545909181836	11.0
13	6.710842168433687	11.0
14	6.813862772554511	12.0
15	6.9948994899489945	11.0
16	7.034503450345034	11.0
17	7.06990699069907	11.0
18	7.081008100810081	11.0
19	7.097809780978098	11.0
20	7.081708170817082	11.0
21	7.144414441444145	11.0
22	7.157315731573157	11.0
23	7.208220822082208	12.0
24	7.216421642164216	12.0
25	7.10971097109711	12.0
26	7.125512551255126	12.0
27	7.148414841484149	12.0
28	7.200320032003201	12.0
29	7.226622662266227	12.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	6.61036103610361	11.0
11	6.646229245849169	12.0
12	6.729545909181836	11.0
13	6.710842168433687	11.0
14	6.813862772554511	12.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	6.61036103610361	11.0
11	6.646229245849169	12.0
12	6.729545909181836	11.0
13	6.710842168433687	11.0
14	6.813862772554511	12.0
15	7.817881788178818	12.0
16	7.946294629462947	12.0
17	7.950995099509951	12.0
18	7.964596459645964	12.0
19	6.963192638527706	11.0
20	7.023104620924185	11.0
21	7.041108221644329	11.0
22	7.1380276055211045	11.0
23	7.108521704340868	11.0
24	7.097319463892778	11.0
25	7.096419283856771	12.0
26	7.101820364072815	12.0
27	7.095419083816763	12.0
28	7.119223844768954	11.0
29	7.141928385677136	12.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	6.61036103610361	11.0
11	6.646229245849169	12.0
12	6.729545909181836	11.0
13	6.710842168433687	11.0
14	6.813862772554511	12.0
15	7.817881788178818	12.0
16	7.946294629462947	12.0
17	7.950995099509951	12.0
18	7.964596459645964	12.0
19	6.963192638527706	11.0
20	7.023104620924185	11.0
21	7.041108221644329	11.0
22	7.1380276055211045	11.0
23	7.108521704340868	11.0
24	7.097319463892778	11.0
25	7.096419283856771	12.0
26	7.101820364072815	12.0
27	7.095419083816763	12.0
28	7.119223844768954	11.0
29	7.141928385677136	12.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	6.61036103610361	11.0
11	6.646229245849169	12.0
12	6.729545909181836	11.0
13	6.710842168433687	11.0
14	6.813862772554511	12.0
15	6.9948994899489945	11.0
16	7.034503450345034	11.0
17	7.06990699069907	11.0
18	7.081008100810081	11.0
19	6.963192638527706	11.0
20	7.023104620924185	11.0
21	7.041108221644329	11.0
22	7.1380276055211045	11.0
23	7.108521704340868	11.0
24	7.097319463892778	11.0
25	7.096419283856771	12.0
26	7.101820364072815	12.0
27	7.095419083816763	12.0
28	7.119223844768954	11.0
29	7.141928385677136	12.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	6.541833466773419	11.0
10	6.648824412206103	11.0
11	6.682409445667401	11.0
12	6.721132679607765	11.0
13	6.755253151891135	11.0
14	6.822993796277767	11.0
15	6.859015409245547	11.0
16	6.931558935361217	12.0
17	6.924154492695617	12.0
18	6.797179717971797	11.0
19	6.903280656131226	12.0
20	6.907372211663499	12.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	6.541833466773419	11.0
10	6.648824412206103	11.0
11	6.682409445667401	11.0
12	6.721132679607765	11.0
13	6.755253151891135	11.0
14	6.822993796277767	11.0
15	6.859015409245547	11.0
16	6.931558935361217	12.0
17	6.924154492695617	12.0
18	6.797179717971797	11.0
19	6.90407122136641	12.0
20	6.908063225290116	12.0
21	6.999399699849925	12.0
22	7.142785671402842	12.0
23	7.16750050030018	12.0
24	7.205223133880328	12.0
25	7.2481488893336	12.0
26	7.07303651825913	11.0
27	7.08984492246123	11.0
28	7.174787393696849	12.0
29	7.191395697848924	12.0
0	NaN	-Infinity
1	NaN	-Infinity
